id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281212.623, 0.305, 0.000, 292962.14, 0.0000, 281212.623, 7, 2050735, 18446744073708416127, 279185.101, 2025.475, 0.000, 0.993, 0.833
1, 281189.255, 0.305, 0.000, 342059.67, 0.0000, 281189.255, 6, 2052343, 18446744073708415118, 279162.025, 1826.899, 198.576, 0.993, 0.805
2, 281128.707, 0.305, 0.000, 342010.33, 0.0000, 281128.707, 6, 2052048, 18446744073708415206, 279101.477, 1826.899, 198.576, 0.993, 0.805
3, 281244.602, 0.305, 0.000, 342196.33, 0.0000, 281244.602, 6, 2053164, 18446744073708414622, 279217.372, 1826.899, 198.576, 0.993, 0.805
4, 281059.620, 0.305, 0.000, 185471.45, 0.0001, 281059.620, 11, 2040172, 18446744073708421822, 277284.921, 3574.368, 198.576, 0.987, 0.882
5, 281122.975, 0.303, 0.000, 87874.13, 0.0005, 281122.975, 23, 2021091, 18446744073708432294, 272939.889, 7982.755, 198.576, 0.971, 0.907
6, 281171.867, 0.302, 0.000, 58931.21, 0.0343, 281171.867, 34, 2003647, 18446744073708442030, 269573.273, 11398.262, 198.576, 0.959, 0.444
7, 281222.345, 0.301, 0.000, 48664.95, 0.0008, 281222.345, 41, 1995249, 18446744073708446663, 267558.269, 13463.453, 198.576, 0.951, 0.898
8, 281123.393, 0.299, 0.000, 38803.33, 0.0012, 281123.393, 51, 1978955, 18446744073708455694, 264044.102, 16878.960, 198.576, 0.939, 0.882
9, 281073.607, 0.298, 0.000, 35232.62, 0.0013, 281073.607, 56, 1973013, 18446744073708458886, 262445.423, 18427.853, 198.576, 0.934, 0.875
10, 281126.132, 0.297, 0.000, 31686.15, 0.0014, 281126.132, 62, 1964527, 18446744073708463614, 260710.765, 20215.037, 198.576, 0.927, 0.867
11, 281244.609, 0.296, 0.000, 25573.39, 0.0020, 281244.609, 76, 1943564, 18446744073708475206, 256420.854, 24623.424, 198.576, 0.912, 0.838
12, 281107.132, 0.296, 0.000, 25933.36, 0.0018, 281107.132, 75, 1944988, 18446744073708474534, 256601.099, 24305.702, 198.576, 0.913, 0.845
13, 281230.536, 0.296, 0.000, 25585.12, 0.0018, 281230.536, 76, 1944455, 18446744073708474810, 256524.757, 24504.278, 198.576, 0.912, 0.845
