id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281210.659, 0.295, 0.000, 301580.00, 0.0000, 281210.659, 7, 2111060, 18446744073708387839, 279183.136, 2025.475, 0.000, 0.993, 0.834
1, 281053.162, 0.295, 0.000, 422171.20, 0.0000, 281053.162, 5, 2110841, 18446744073708388470, 279224.508, 1628.323, 198.576, 0.993, 0.770
2, 281222.229, 0.295, 0.000, 301369.57, 0.0000, 281222.229, 7, 2109573, 18446744073708389094, 278996.423, 2025.475, 198.576, 0.992, 0.831
3, 281192.037, 0.295, 0.000, 301294.29, 0.0000, 281192.037, 7, 2109046, 18446744073708389382, 278966.230, 2025.475, 198.576, 0.992, 0.831
4, 281138.476, 0.295, 0.000, 351632.67, 0.1905, 281138.476, 6, 2109782, 18446744073708389006, 279071.530, 1866.614, 198.576, 0.993, 0.109
5, 281077.441, 0.295, 0.000, 301229.14, 0.0000, 281077.441, 7, 2108590, 18446744073708389582, 278851.635, 2025.475, 198.576, 0.992, 0.831
6, 281204.614, 0.295, 0.000, 301289.00, 0.0000, 281204.614, 7, 2109009, 18446744073708389462, 278978.808, 2025.475, 198.576, 0.992, 0.831
7, 281229.477, 0.295, 0.000, 301329.14, 0.0000, 281229.477, 7, 2109290, 18446744073708389266, 279002.500, 2025.475, 198.576, 0.992, 0.831
8, 281228.892, 0.295, 0.000, 301365.43, 0.1633, 281228.892, 7, 2109540, 18446744073708389014, 278963.370, 2065.190, 198.576, 0.992, 0.129
9, 281120.959, 0.295, 0.000, 301323.57, 0.0000, 281120.959, 7, 2109251, 18446744073708388934, 278895.153, 2025.475, 198.576, 0.992, 0.831
10, 281090.832, 0.295, 0.000, 301283.71, 0.0000, 281090.832, 7, 2108972, 18446744073708389110, 278865.025, 2025.475, 198.576, 0.992, 0.831
11, 281156.805, 0.295, 0.000, 351842.33, 0.0000, 281156.805, 6, 2111040, 18446744073708388218, 279128.405, 1826.899, 198.576, 0.993, 0.806
12, 281194.701, 0.295, 0.000, 351696.00, 0.0000, 281194.701, 6, 2110158, 18446744073708388958, 279167.470, 1826.899, 198.576, 0.993, 0.806
13, 281146.992, 0.295, 0.000, 301214.00, 0.0000, 281146.992, 7, 2108484, 18446744073708389790, 278921.185, 2025.475, 198.576, 0.992, 0.831
14, 281142.636, 0.295, 0.000, 351661.67, 0.1905, 281142.636, 6, 2109956, 18446744073708388982, 279075.690, 1866.614, 198.576, 0.993, 0.109
15, 281213.097, 0.295, 0.000, 301345.57, 0.0000, 281213.097, 7, 2109405, 18446744073708389095, 278986.998, 2025.475, 198.576, 0.992, 0.831
16, 281222.977, 0.295, 0.000, 301259.29, 0.0000, 281222.977, 7, 2108800, 18446744073708389598, 278997.171, 2025.475, 198.576, 0.992, 0.831
17, 281191.809, 0.295, 0.000, 301275.86, 0.0000, 281191.809, 7, 2108917, 18446744073708389646, 278966.003, 2025.475, 198.576, 0.992, 0.831
18, 281132.074, 0.295, 0.000, 301171.29, 0.0000, 281132.074, 7, 2108185, 18446744073708390038, 278906.268, 2025.475, 198.576, 0.992, 0.831
19, 281169.546, 0.295, 0.000, 351785.00, 0.0000, 281169.546, 6, 2110696, 18446744073708388334, 279142.315, 1826.899, 198.576, 0.993, 0.806
20, 281056.413, 0.295, 0.000, 351565.83, 0.0000, 281056.413, 6, 2109381, 18446744073708389398, 279029.183, 1826.899, 198.576, 0.993, 0.806
21, 281161.941, 0.295, 0.000, 351650.00, 0.0000, 281161.941, 6, 2109886, 18446744073708389118, 279134.710, 1826.899, 198.576, 0.993, 0.806
22, 281212.774, 0.294, 0.000, 263162.75, 0.0001, 281212.774, 8, 2105288, 18446744073708391310, 278272.095, 2740.349, 198.576, 0.990, 0.848
23, 281205.595, 0.294, 0.000, 262470.12, 0.0001, 281205.595, 8, 2099747, 18446744073708394654, 277510.327, 3494.938, 198.576, 0.987, 0.847
24, 281244.209, 0.294, 0.000, 174584.08, 0.0002, 281244.209, 12, 2094995, 18446744073708397094, 276675.206, 4368.672, 198.576, 0.984, 0.887
25, 281158.410, 0.294, 0.000, 161004.08, 0.0002, 281158.410, 13, 2093039, 18446744073708397942, 276073.109, 4884.970, 198.576, 0.982, 0.891
26, 281093.801, 0.294, 0.000, 160798.23, 0.0002, 281093.801, 13, 2090363, 18446744073708399854, 275849.639, 5043.830, 198.576, 0.981, 0.891
27, 281172.061, 0.294, 0.000, 149330.64, 0.0002, 281172.061, 14, 2090615, 18446744073708399598, 275808.754, 5162.976, 198.576, 0.981, 0.896
28, 281101.831, 0.293, 0.000, 130368.50, 0.0003, 281101.831, 16, 2085882, 18446744073708402190, 274825.075, 6076.426, 198.576, 0.978, 0.900
29, 281102.287, 0.293, 0.000, 130337.62, 0.0718, 281102.287, 16, 2085388, 18446744073708402414, 274706.385, 6195.571, 198.576, 0.977, 0.269
30, 281184.548, 0.293, 0.000, 109509.84, 0.0607, 281184.548, 19, 2080673, 18446744073708405102, 273875.196, 7109.021, 198.576, 0.974, 0.305
31, 281156.566, 0.293, 0.000, 109466.95, 0.0005, 281156.566, 19, 2079858, 18446744073708405414, 273767.784, 7188.451, 198.576, 0.974, 0.903
32, 281222.800, 0.293, 0.000, 109497.79, 0.0004, 281222.800, 19, 2080444, 18446744073708405326, 273834.018, 7188.451, 198.576, 0.974, 0.905
33, 281114.446, 0.293, 0.000, 103936.35, 0.0005, 281114.446, 20, 2078713, 18446744073708406415, 273685.656, 7228.166, 198.576, 0.974, 0.904
34, 281187.636, 0.293, 0.000, 109451.95, 0.0606, 281187.636, 19, 2079572, 18446744073708405942, 273838.569, 7148.736, 198.576, 0.974, 0.305
35, 281146.458, 0.293, 0.000, 109463.42, 0.0004, 281146.458, 19, 2079791, 18446744073708405718, 273757.676, 7188.451, 198.576, 0.974, 0.905
36, 281166.511, 0.293, 0.000, 103982.10, 0.0005, 281166.511, 20, 2079628, 18446744073708405678, 273738.013, 7228.166, 198.576, 0.974, 0.903
37, 281099.171, 0.293, 0.000, 103986.15, 0.0004, 281099.171, 20, 2079709, 18446744073708405231, 273670.381, 7228.166, 198.576, 0.974, 0.906
38, 281087.665, 0.293, 0.000, 109456.68, 0.0004, 281087.665, 19, 2079662, 18446744073708405646, 273698.883, 7188.451, 198.576, 0.974, 0.905
39, 281240.717, 0.293, 0.000, 76605.37, 0.0025, 281240.717, 27, 2068331, 18446744073708411526, 271826.459, 9213.926, 198.576, 0.967, 0.854
40, 281218.133, 0.293, 0.000, 68745.87, 0.0025, 281218.133, 30, 2062362, 18446744073708414838, 270890.426, 10127.376, 198.576, 0.963, 0.855
41, 281160.801, 0.293, 0.000, 73709.93, 0.0007, 281160.801, 28, 2063864, 18446744073708414362, 271149.646, 9809.654, 198.576, 0.964, 0.904
42, 281163.274, 0.293, 0.000, 66408.32, 0.0024, 281163.274, 31, 2058640, 18446744073708417422, 270557.561, 10405.382, 198.576, 0.962, 0.858
43, 281081.732, 0.293, 0.000, 66418.29, 0.0025, 281081.732, 31, 2058953, 18446744073708416966, 270515.734, 10365.667, 198.576, 0.962, 0.856
44, 281184.592, 0.293, 0.000, 71146.07, 0.0007, 281184.592, 29, 2063222, 18446744073708414678, 271095.176, 9889.085, 198.576, 0.964, 0.905
45, 281143.220, 0.293, 0.000, 71135.00, 0.0007, 281143.220, 29, 2062901, 18446744073708414586, 270933.488, 10008.230, 198.576, 0.964, 0.905
46, 281100.159, 0.293, 0.000, 66415.29, 0.0025, 281100.159, 31, 2058856, 18446744073708417126, 270534.161, 10365.667, 198.576, 0.962, 0.855
47, 281181.278, 0.293, 0.000, 68715.80, 0.0026, 281181.278, 30, 2061460, 18446744073708415614, 270853.571, 10127.376, 198.576, 0.963, 0.853
48, 281144.975, 0.293, 0.000, 71102.52, 0.0007, 281144.975, 29, 2061959, 18446744073708415534, 270936.413, 10008.230, 198.576, 0.964, 0.905
49, 281197.073, 0.293, 0.000, 68715.87, 0.0025, 281197.073, 30, 2061462, 18446744073708415666, 270868.196, 10127.376, 198.576, 0.963, 0.856
50, 281092.489, 0.293, 0.000, 66414.45, 0.0393, 281092.489, 31, 2058830, 18446744073708416990, 270486.776, 10405.382, 198.576, 0.962, 0.405
51, 281151.637, 0.293, 0.000, 68736.37, 0.0006, 281151.637, 30, 2062077, 18446744073708415303, 270903.068, 10047.946, 198.576, 0.964, 0.906
52, 281170.746, 0.293, 0.000, 73718.89, 0.0007, 281170.746, 28, 2064114, 18446744073708414146, 271159.591, 9809.654, 198.576, 0.964, 0.905
53, 281094.017, 0.293, 0.000, 66405.58, 0.0024, 281094.017, 31, 2058555, 18446744073708417406, 270528.019, 10365.667, 198.576, 0.962, 0.858
54, 281164.021, 0.293, 0.000, 68710.33, 0.0023, 281164.021, 30, 2061296, 18446744073708415719, 270875.736, 10087.661, 198.576, 0.963, 0.859
55, 281081.860, 0.293, 0.000, 71141.72, 0.0007, 281081.860, 29, 2063095, 18446744073708414318, 270913.013, 9968.515, 198.576, 0.964, 0.906
56, 281084.364, 0.293, 0.000, 66419.48, 0.0024, 281084.364, 31, 2058990, 18446744073708416938, 270517.196, 10365.667, 198.576, 0.962, 0.859
57, 281242.118, 0.293, 0.000, 68724.07, 0.0025, 281242.118, 30, 2061704, 18446744073708415578, 270913.241, 10127.376, 198.576, 0.963, 0.854
58, 281061.255, 0.293, 0.000, 71072.79, 0.0401, 281061.255, 29, 2061093, 18446744073708415978, 270811.808, 10047.946, 198.576, 0.964, 0.400
59, 281177.768, 0.293, 0.000, 68716.03, 0.0024, 281177.768, 30, 2061463, 18446744073708415599, 270849.769, 10127.376, 198.576, 0.963, 0.858
60, 281202.210, 0.293, 0.000, 64327.16, 0.0024, 281202.210, 32, 2058454, 18446744073708417198, 270437.636, 10564.243, 198.576, 0.962, 0.857
61, 281226.031, 0.293, 0.000, 68735.83, 0.0387, 281226.031, 30, 2062061, 18446744073708415166, 270898.324, 10127.376, 198.576, 0.963, 0.408
62, 281130.350, 0.293, 0.000, 71111.00, 0.0007, 281130.350, 29, 2062205, 18446744073708415238, 270921.788, 10008.230, 198.576, 0.964, 0.905
63, 281056.869, 0.293, 0.000, 66418.39, 0.0024, 281056.869, 31, 2058956, 18446744073708416878, 270490.871, 10365.667, 198.576, 0.962, 0.857
64, 281191.516, 0.293, 0.000, 68728.70, 0.0025, 281191.516, 30, 2061847, 18446744073708415262, 270863.809, 10127.376, 198.576, 0.963, 0.856
65, 281190.636, 0.293, 0.000, 73728.29, 0.0007, 281190.636, 28, 2064378, 18446744073708413950, 271180.651, 9809.654, 198.576, 0.964, 0.904
66, 281163.893, 0.293, 0.000, 64307.28, 0.0023, 281163.893, 32, 2057819, 18446744073708417702, 270399.319, 10564.243, 198.576, 0.962, 0.859
67, 281148.485, 0.293, 0.000, 71117.00, 0.0026, 281148.485, 29, 2062379, 18446744073708415126, 270979.639, 9968.515, 198.576, 0.964, 0.852
68, 281081.145, 0.293, 0.000, 68730.50, 0.0006, 281081.145, 30, 2061901, 18446744073708415238, 270832.868, 10047.946, 198.576, 0.964, 0.906
69, 197483.163, 0.293, 0.000, 90626.88, 0.0008, 197483.163, 16, 1450016, 18446744073708754760, 190501.546, 6116.141, 198.576, 0.965, 0.878
