id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
0, 281216.515, 0.298, 0.000, 42714.23, 0.0102, 281216.515, 44, 1879426, 18446744073708549024, 261716.352, 19500.163, 0.000, 0.931, 0.698, 0
1, 281246.719, 0.297, 0.000, 53285.17, 0.0474, 281246.719, 36, 1918266, 18446744073708524544, 264606.050, 16442.093, 198.576, 0.941, 0.368, 0
2, 281209.585, 0.296, 0.000, 65009.80, 0.0050, 281209.585, 30, 1950294, 18446744073708505288, 267309.265, 13701.744, 198.576, 0.951, 0.797, 0
3, 281168.746, 0.296, 0.000, 53551.36, 0.0764, 281168.746, 36, 1927849, 18446744073708518632, 265322.381, 15647.789, 198.576, 0.944, 0.268, 0
4, 281177.886, 0.295, 0.000, 85567.17, 0.0517, 281177.886, 23, 1968045, 18446744073708495168, 268985.320, 11993.990, 198.576, 0.957, 0.344, 0
5, 281188.261, 0.297, 0.000, 48846.69, 0.0166, 281188.261, 39, 1905021, 18446744073708530936, 262879.554, 18110.131, 198.576, 0.935, 0.604, 0
6, 281134.327, 0.297, 0.000, 55212.17, 0.0546, 281134.327, 35, 1932426, 18446744073708514752, 265605.684, 15330.067, 198.576, 0.945, 0.336, 0
7, 281061.102, 0.296, 0.000, 56910.74, 0.0052, 281061.102, 34, 1934965, 18446744073708513592, 265373.598, 15488.928, 198.576, 0.944, 0.791, 0
8, 281194.594, 0.295, 0.000, 75422.50, 0.0059, 281194.594, 26, 1960985, 18446744073708500520, 268803.451, 12192.566, 198.576, 0.956, 0.776, 0
9, 281109.742, 0.296, 0.000, 69768.21, 0.1201, 281109.742, 28, 1953510, 18446744073708503360, 267686.005, 13225.162, 198.576, 0.952, 0.189, 0
10, 281226.272, 0.296, 0.000, 52045.81, 0.0268, 281226.272, 37, 1925695, 18446744073708520168, 265141.616, 15886.080, 198.576, 0.943, 0.497, 0
11, 281013.697, 0.295, 0.000, 78613.00, 0.0017, 281013.697, 25, 1965325, 18446744073708496512, 268503.409, 12311.712, 198.576, 0.955, 0.876, 0
12, 281183.896, 0.297, 0.000, 54837.80, 0.0154, 281183.896, 35, 1919323, 18446744073708523408, 264265.221, 16720.099, 198.576, 0.940, 0.618, 0
13, 281145.750, 0.296, 0.000, 69950.21, 0.0104, 281145.750, 28, 1958606, 18446744073708500288, 268397.170, 12550.003, 198.576, 0.955, 0.692, 0
14, 281089.474, 0.296, 0.000, 58707.82, 0.0746, 281089.474, 33, 1937358, 18446744073708511296, 265481.401, 15409.498, 198.576, 0.944, 0.272, 0
15, 281055.234, 0.295, 0.000, 78387.08, 0.1895, 281055.234, 25, 1959677, 18446744073708501080, 268624.376, 12232.282, 198.576, 0.956, 0.129, 0
16, 281088.925, 0.295, 0.000, 104212.00, 0.0019, 281088.925, 19, 1980028, 18446744073708488312, 270286.391, 10603.958, 198.576, 0.962, 0.864, 0
17, 281121.924, 0.295, 0.000, 78392.36, 0.0230, 281121.924, 25, 1959809, 18446744073708501176, 268571.921, 12351.427, 198.576, 0.955, 0.529, 0
18, 281060.884, 0.296, 0.000, 78708.28, 0.0066, 281060.884, 25, 1967707, 18446744073708496328, 269662.622, 11199.686, 198.576, 0.959, 0.761, 0
19, 281140.972, 0.295, 0.000, 67562.66, 0.0233, 281140.972, 29, 1959317, 18446744073708499968, 268074.671, 12867.725, 198.576, 0.954, 0.528, 0
20, 281175.320, 0.295, 0.000, 81751.92, 0.0066, 281175.320, 24, 1962046, 18446744073708500072, 268982.754, 11993.990, 198.576, 0.957, 0.760, 0
21, 281231.991, 0.295, 0.000, 99003.90, 0.0018, 281231.991, 20, 1980078, 18446744073708488208, 270270.596, 10762.819, 198.576, 0.961, 0.869, 0
22, 281132.911, 0.296, 0.000, 72438.85, 0.1203, 281132.911, 27, 1955849, 18446744073708503680, 268384.332, 12550.003, 198.576, 0.955, 0.189, 0
23, 281225.697, 0.296, 0.000, 75423.23, 0.0077, 281225.697, 26, 1961004, 18446744073708500200, 268913.985, 12113.136, 198.576, 0.956, 0.741, 0
24, 281162.259, 0.295, 0.000, 67569.59, 0.0231, 281162.259, 29, 1959518, 18446744073708499704, 268056.243, 12907.440, 198.576, 0.953, 0.530, 0
25, 281061.895, 0.295, 0.000, 81718.08, 0.0069, 281061.895, 24, 1961234, 18446744073708500632, 268909.044, 11954.275, 198.576, 0.957, 0.754, 0
26, 281089.519, 0.295, 0.000, 85509.22, 0.0018, 281089.519, 23, 1966712, 18446744073708495520, 268698.377, 12192.566, 198.576, 0.956, 0.871, 0
