id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281171.618, 0.300, 0.000, 284704.43, 0.0000, 281171.618, 7, 1992931, 18446744073708488998, 279184.103, 1985.760, 0.000, 0.993, 0.840
1, 281198.971, 0.297, 0.000, 337116.17, 0.1905, 281198.971, 6, 2022683, 18446744073708467622, 279132.026, 1866.614, 198.576, 0.993, 0.111
2, 281054.215, 0.297, 0.000, 337184.17, 0.0000, 281054.215, 6, 2023091, 18446744073708467398, 279106.415, 1747.469, 198.576, 0.993, 0.812
3, 281134.227, 0.296, 0.000, 339010.50, 0.1905, 281134.227, 6, 2034049, 18446744073708458886, 279067.282, 1866.614, 198.576, 0.993, 0.111
4, 281227.964, 0.298, 0.000, 336078.50, 0.5714, 281227.964, 6, 2016457, 18446744073708472182, 279081.588, 1946.045, 198.576, 0.992, 0.041
5, 281237.416, 0.297, 0.000, 289935.14, 0.0000, 281237.416, 7, 2029532, 18446744073708462398, 279011.610, 2025.475, 198.576, 0.992, 0.836
6, 281166.593, 0.296, 0.000, 339733.50, 0.0000, 281166.593, 6, 2038387, 18446744073708457510, 279139.363, 1826.899, 198.576, 0.993, 0.812
7, 281169.921, 0.298, 0.000, 287970.43, 0.0000, 281169.921, 7, 2015779, 18446744073708471168, 278943.530, 2025.475, 198.576, 0.992, 0.836
8, 281103.252, 0.296, 0.000, 290342.29, 0.0000, 281103.252, 7, 2032380, 18446744073708462350, 278877.445, 2025.475, 198.576, 0.992, 0.836
9, 281085.992, 0.296, 0.000, 339518.17, 0.0000, 281085.992, 6, 2037095, 18446744073708458798, 279058.762, 1826.899, 198.576, 0.993, 0.812
10, 281244.023, 0.299, 0.000, 287884.00, 0.0000, 281244.023, 7, 2015174, 18446744073708470397, 279009.150, 2025.475, 198.576, 0.992, 0.836
11, 281167.763, 0.296, 0.000, 338890.00, 0.0000, 281167.763, 6, 2033295, 18446744073708462606, 279140.533, 1826.899, 198.576, 0.993, 0.812
12, 281177.619, 0.297, 0.000, 289324.57, 0.0000, 281177.619, 7, 2025258, 18446744073708464974, 279031.243, 1946.045, 198.576, 0.992, 0.836
13, 281203.483, 0.296, 0.000, 339193.67, 0.3810, 281203.483, 6, 2035148, 18446744073708459110, 279096.822, 1906.330, 198.576, 0.993, 0.059
14, 281074.716, 0.296, 0.000, 290654.86, 0.0000, 281074.716, 7, 2034570, 18446744073708460334, 278848.910, 2025.475, 198.576, 0.992, 0.836
15, 281152.493, 0.297, 0.000, 338169.17, 0.0000, 281152.493, 6, 2029001, 18446744073708463046, 279164.978, 1787.184, 198.576, 0.993, 0.812
16, 281237.803, 0.296, 0.000, 290360.00, 0.0000, 281237.803, 7, 2032506, 18446744073708461462, 279011.997, 2025.475, 198.576, 0.992, 0.836
17, 281056.974, 0.296, 0.000, 338471.67, 0.0000, 281056.974, 6, 2030816, 18446744073708462398, 279029.743, 1826.899, 198.576, 0.993, 0.812
18, 281096.628, 0.297, 0.000, 337433.50, 0.0000, 281096.628, 6, 2024587, 18446744073708466047, 279148.535, 1747.469, 198.576, 0.993, 0.812
19, 281138.709, 0.296, 0.000, 339781.33, 0.0000, 281138.709, 6, 2038673, 18446744073708456314, 279110.309, 1826.899, 198.576, 0.993, 0.811
20, 281025.511, 0.296, 0.000, 338380.67, 0.0000, 281025.511, 6, 2030266, 18446744073708464334, 278998.281, 1826.899, 198.576, 0.993, 0.812
21, 281202.709, 0.297, 0.000, 289220.29, 0.0000, 281202.709, 7, 2024528, 18446744073708465654, 278976.903, 2025.475, 198.576, 0.992, 0.836
