id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
0, 281173.176, 0.293, 0.000, 239906.67, 0.0000, 281173.176, 9, 2159160, 18446744073708346264, 279187.416, 1985.760, 0.000, 0.993, 0.865, 0
1, 281186.955, 0.293, 0.000, 240269.11, 0.0000, 281186.955, 9, 2162422, 18446744073708343728, 279201.195, 1787.184, 198.576, 0.993, 0.862, 0
2, 281154.456, 0.293, 0.000, 216172.00, 0.0000, 281154.456, 10, 2161720, 18446744073708343640, 278970.120, 1985.760, 198.576, 0.992, 0.874, 0
3, 281172.884, 0.293, 0.000, 216076.70, 0.0000, 281172.884, 10, 2160767, 18446744073708344656, 278988.548, 1985.760, 198.576, 0.992, 0.874, 0
4, 281169.698, 0.293, 0.000, 240376.33, 0.0000, 281169.698, 9, 2163387, 18446744073708342704, 279183.938, 1787.184, 198.576, 0.993, 0.862, 0
5, 281201.288, 0.293, 0.000, 240468.33, 0.0000, 281201.288, 9, 2164215, 18446744073708341984, 279215.528, 1787.184, 198.576, 0.993, 0.862, 0
6, 281249.487, 0.293, 0.000, 196412.18, 0.0000, 281249.487, 11, 2160534, 18446744073708344472, 278866.575, 2184.336, 198.576, 0.992, 0.883, 0
7, 281089.553, 0.293, 0.000, 240285.44, 0.0000, 281089.553, 9, 2162569, 18446744073708343248, 279103.793, 1787.184, 198.576, 0.993, 0.862, 0
8, 281193.944, 0.293, 0.000, 216231.10, 0.0000, 281193.944, 10, 2162311, 18446744073708343184, 279009.608, 1985.760, 198.576, 0.992, 0.874, 0
9, 281152.733, 0.293, 0.000, 240417.00, 0.0000, 281152.733, 9, 2163753, 18446744073708342280, 279166.973, 1787.184, 198.576, 0.993, 0.862, 0
10, 281093.940, 0.293, 0.000, 240383.11, 0.0000, 281093.940, 9, 2163448, 18446744073708342384, 279108.180, 1787.184, 198.576, 0.993, 0.862, 0
11, 281176.686, 0.293, 0.000, 216290.00, 0.0000, 281176.686, 10, 2162900, 18446744073708342536, 278992.350, 1985.760, 198.576, 0.992, 0.874, 0
12, 281140.709, 0.293, 0.000, 216332.90, 0.0000, 281140.709, 10, 2163329, 18446744073708341984, 278956.373, 1985.760, 198.576, 0.992, 0.874, 0
13, 281128.455, 0.293, 0.000, 240250.44, 0.0000, 281128.455, 9, 2162254, 18446744073708343696, 279142.695, 1787.184, 198.576, 0.993, 0.862, 0
14, 281149.484, 0.293, 0.000, 216163.90, 0.0000, 281149.484, 10, 2161639, 18446744073708343704, 278965.148, 1985.760, 198.576, 0.992, 0.874, 0
15, 281240.451, 0.293, 0.000, 216290.20, 0.0000, 281240.451, 10, 2162902, 18446744073708342752, 279056.115, 1985.760, 198.576, 0.992, 0.874, 0
16, 281077.853, 0.293, 0.000, 240337.89, 0.0000, 281077.853, 9, 2163041, 18446744073708342736, 279092.093, 1787.184, 198.576, 0.993, 0.862, 0
17, 281083.671, 0.293, 0.000, 216207.80, 0.0000, 281083.671, 10, 2162078, 18446744073708343040, 278899.335, 1985.760, 198.576, 0.992, 0.874, 0
18, 281172.591, 0.293, 0.000, 216285.40, 0.0000, 281172.591, 10, 2162854, 18446744073708342568, 278988.255, 1985.760, 198.576, 0.992, 0.874, 0
19, 281080.778, 0.293, 0.000, 240465.22, 0.0000, 281080.778, 9, 2164187, 18446744073708341600, 279095.018, 1787.184, 198.576, 0.993, 0.862, 0
20, 281066.706, 0.293, 0.000, 216125.20, 0.0000, 281066.706, 10, 2161252, 18446744073708343808, 278882.370, 1985.760, 198.576, 0.992, 0.874, 0
21, 281105.609, 0.293, 0.000, 216232.90, 0.0000, 281105.609, 10, 2162329, 18446744073708342864, 278921.273, 1985.760, 198.576, 0.992, 0.874, 0
22, 281160.014, 0.293, 0.000, 216313.90, 0.0000, 281160.014, 10, 2163139, 18446744073708342240, 278975.678, 1985.760, 198.576, 0.992, 0.874, 0
23, 281243.052, 0.293, 0.000, 196559.27, 0.0000, 281243.052, 11, 2162152, 18446744073708342832, 278860.140, 2184.336, 198.576, 0.992, 0.883, 0
24, 281222.055, 0.293, 0.000, 240596.22, 0.0000, 281222.055, 9, 2165366, 18446744073708340904, 279236.295, 1787.184, 198.576, 0.993, 0.862, 0
25, 281150.654, 0.293, 0.000, 216347.50, 0.0000, 281150.654, 10, 2163475, 18446744073708341872, 278966.318, 1985.760, 198.576, 0.992, 0.874, 0
26, 281151.270, 0.293, 0.000, 240620.89, 0.0000, 281151.270, 9, 2165588, 18446744073708340440, 279165.510, 1787.184, 198.576, 0.993, 0.862, 0
27, 281133.104, 0.293, 0.000, 216139.90, 0.0000, 281133.104, 10, 2161399, 18446744073708343888, 278948.768, 1985.760, 198.576, 0.992, 0.874, 0
28, 281147.760, 0.293, 0.000, 240336.00, 0.0000, 281147.760, 9, 2163024, 18446744073708342992, 279162.000, 1787.184, 198.576, 0.993, 0.862, 0
