id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281173.176, 0.293, 0.000, 239905.11, 0.0000, 281173.176, 9, 2159146, 18446744073708346278, 279185.661, 1985.760, 0.000, 0.993, 0.865
1, 281186.955, 0.293, 0.000, 240269.00, 0.0000, 281186.955, 9, 2162407, 18446744073708343743, 279199.148, 1787.184, 198.576, 0.993, 0.862
2, 281152.994, 0.293, 0.000, 216170.70, 0.0000, 281152.994, 10, 2161692, 18446744073708343663, 278966.610, 1985.760, 198.576, 0.992, 0.874
3, 281135.151, 0.293, 0.000, 216047.80, 0.0000, 281135.151, 10, 2160463, 18446744073708344831, 278948.768, 1985.760, 198.576, 0.992, 0.874
4, 281123.451, 0.293, 0.000, 216148.70, 0.0000, 281123.451, 10, 2161472, 18446744073708343782, 278937.360, 1985.760, 198.576, 0.992, 0.874
5, 281055.299, 0.293, 0.000, 216154.10, 0.0000, 281055.299, 10, 2161527, 18446744073708343494, 278869.208, 1985.760, 198.576, 0.992, 0.874
6, 281179.904, 0.293, 0.000, 216153.40, 0.0000, 281179.904, 10, 2161520, 18446744073708343927, 278993.520, 1985.760, 198.576, 0.992, 0.874
7, 281177.271, 0.293, 0.000, 216171.90, 0.0000, 281177.271, 10, 2161704, 18446744073708343734, 278991.180, 1985.760, 198.576, 0.992, 0.874
8, 281115.293, 0.293, 0.000, 240359.22, 0.0000, 281115.293, 9, 2163219, 18446744073708342686, 279127.778, 1787.184, 198.576, 0.993, 0.862
9, 281227.613, 0.293, 0.000, 240481.89, 0.0000, 281227.613, 9, 2164323, 18446744073708341966, 279240.098, 1787.184, 198.576, 0.993, 0.862
10, 281243.084, 0.293, 0.000, 216306.30, 0.0000, 281243.084, 10, 2163049, 18446744073708342614, 279056.993, 1985.760, 198.576, 0.992, 0.874
11, 281195.145, 0.293, 0.000, 240508.67, 0.0000, 281195.145, 9, 2164564, 18446744073708341614, 279207.630, 1787.184, 198.576, 0.993, 0.862
12, 281204.181, 0.293, 0.000, 216382.50, 0.0000, 281204.181, 10, 2163811, 18446744073708341719, 279017.798, 1985.760, 198.576, 0.992, 0.874
13, 281132.519, 0.293, 0.000, 216074.90, 0.0000, 281132.519, 10, 2160734, 18446744073708344551, 278946.135, 1985.760, 198.576, 0.992, 0.874
14, 281152.701, 0.293, 0.000, 216165.50, 0.0000, 281152.701, 10, 2161640, 18446744073708343714, 278965.440, 1985.760, 198.576, 0.992, 0.874
15, 281129.625, 0.293, 0.000, 240398.00, 0.0000, 281129.625, 9, 2163564, 18446744073708342390, 279142.110, 1787.184, 198.576, 0.993, 0.862
