id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281071.356, 0.964, 0.000, 70341.44, 0.0000, 281071.356, 9, 633073, 18446744073709208182, 279282.417, 1787.184, 0.000, 0.994, 0.869
1, 281233.077, 0.964, 0.000, 63737.70, 0.0000, 281233.077, 10, 637363, 18446744073709203766, 279046.986, 1985.760, 198.576, 0.992, 0.877
2, 281180.555, 0.960, 0.000, 71157.67, 0.0000, 281180.555, 9, 640405, 18446744073709202038, 279193.040, 1787.184, 198.576, 0.993, 0.866
3, 281145.975, 0.961, 0.000, 71093.00, 0.0000, 281145.975, 9, 639823, 18446744073709202366, 279158.460, 1787.184, 198.576, 0.993, 0.866
4, 281059.525, 0.961, 0.000, 71086.78, 0.0000, 281059.525, 9, 639767, 18446744073709202398, 279072.010, 1787.184, 198.576, 0.993, 0.866
5, 281204.640, 0.964, 0.000, 63684.80, 0.0000, 281204.640, 10, 636834, 18446744073709204062, 278978.834, 2025.475, 198.576, 0.992, 0.877
6, 281216.533, 0.959, 0.000, 64071.80, 0.0000, 281216.533, 10, 640704, 18446744073709201862, 279030.442, 1985.760, 198.576, 0.992, 0.877
7, 281060.471, 0.959, 0.000, 35006.00, 0.0018, 281060.471, 18, 630094, 18446744073709209766, 276491.468, 4368.672, 198.576, 0.984, 0.900
8, 281164.338, 0.961, 0.000, 71072.44, 0.0000, 281164.338, 9, 639638, 18446744073709202478, 279137.108, 1826.899, 198.576, 0.993, 0.866
9, 281220.076, 0.961, 0.000, 71051.44, 0.0000, 281220.076, 9, 639449, 18446744073709202586, 279151.961, 1826.899, 198.576, 0.993, 0.866
10, 281171.327, 0.963, 0.000, 70903.22, 0.0000, 281171.327, 9, 638111, 18446744073709203350, 279183.812, 1787.184, 198.576, 0.993, 0.866
11, 281210.683, 0.959, 0.000, 64069.00, 0.0000, 281210.683, 10, 640676, 18446744073709201870, 278984.876, 2025.475, 198.576, 0.992, 0.877
12, 281249.424, 0.962, 0.000, 63878.20, 0.0000, 281249.424, 10, 638768, 18446744073709202966, 279065.088, 1985.760, 198.576, 0.992, 0.877
