id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281070.515, 0.527, 0.000, 146208.75, 0.0000, 281070.515, 8, 1169670, 18446744073708911910, 279202.146, 1866.614, 0.000, 0.993, 0.854
1, 281055.863, 0.471, 0.000, 162451.50, 0.0000, 281055.863, 8, 1299598, 18446744073708844390, 278988.918, 1866.614, 198.576, 0.993, 0.852
2, 281115.207, 0.470, 0.000, 144504.67, 0.0000, 281115.207, 9, 1300528, 18446744073708844206, 279008.547, 1906.330, 198.576, 0.993, 0.866
3, 281134.794, 0.465, 0.000, 146329.44, 0.0000, 281134.794, 9, 1316951, 18446744073708835182, 278988.418, 1946.045, 198.576, 0.992, 0.866
4, 281130.630, 0.463, 0.000, 165210.88, 0.0000, 281130.630, 8, 1321673, 18446744073708832754, 279141.945, 1787.184, 198.576, 0.993, 0.852
5, 281222.475, 0.480, 0.000, 141749.78, 0.0000, 281222.475, 9, 1275730, 18446744073708857558, 278917.238, 2104.906, 198.576, 0.992, 0.866
6, 281206.524, 0.477, 0.000, 66637.95, 0.0064, 281206.524, 19, 1266107, 18446744073708862510, 274969.482, 6036.710, 198.576, 0.978, 0.812
7, 281168.181, 0.465, 0.000, 76617.06, 0.0016, 281168.181, 17, 1302476, 18446744073708843118, 276043.165, 4924.685, 198.576, 0.982, 0.883
8, 281188.912, 0.463, 0.000, 87277.07, 0.0003, 281188.912, 15, 1309142, 18446744073708839510, 276699.339, 4289.242, 198.576, 0.984, 0.902
9, 281142.275, 0.475, 0.000, 23777.35, 0.0089, 281142.275, 51, 1212631, 18446744073708891462, 262156.654, 18785.290, 198.576, 0.932, 0.777
10, 281221.209, 0.465, 0.000, 18271.43, 0.0050, 281221.209, 67, 1224172, 18446744073708885622, 259336.379, 21684.499, 198.576, 0.922, 0.819
11, 281190.702, 0.468, 0.000, 17523.32, 0.0071, 281190.702, 69, 1209095, 18446744073708893670, 257836.409, 23153.962, 198.576, 0.917, 0.788
12, 281167.229, 0.470, 0.000, 45301.11, 0.0033, 281167.229, 28, 1268417, 18446744073708861695, 272110.116, 8856.490, 198.576, 0.968, 0.867
13, 281055.662, 0.463, 0.000, 29995.29, 0.0085, 281055.662, 42, 1259787, 18446744073708866006, 265644.410, 15210.922, 198.576, 0.945, 0.784
14, 281122.270, 0.465, 0.000, 23339.89, 0.0047, 281122.270, 53, 1237000, 18446744073708878430, 262374.941, 18546.998, 198.576, 0.933, 0.833
15, 281216.746, 0.464, 0.000, 21758.58, 0.0058, 281216.746, 57, 1240225, 18446744073708876750, 262151.695, 18864.720, 198.576, 0.932, 0.814
16, 281102.886, 0.463, 0.000, 29954.38, 0.0042, 281102.886, 42, 1258070, 18446744073708866934, 265691.634, 15210.922, 198.576, 0.945, 0.848
17, 281200.005, 0.464, 0.000, 24908.52, 0.0054, 281200.005, 50, 1245412, 18446744073708873814, 263326.410, 17673.264, 198.576, 0.936, 0.824
18, 281143.957, 0.476, 0.000, 19003.06, 0.0154, 281143.957, 62, 1178176, 18446744073708909222, 255208.176, 25735.450, 198.576, 0.908, 0.696
19, 281178.606, 0.478, 0.000, 12771.06, 0.0245, 281178.606, 88, 1123839, 18446744073708938830, 244480.006, 36498.269, 198.576, 0.869, 0.602
20, 281093.930, 0.469, 0.000, 16997.16, 0.0170, 281093.930, 70, 1189787, 18446744073708903550, 254324.130, 26569.469, 198.576, 0.905, 0.674
21, 281220.253, 0.458, 0.000, 31518.15, 0.0292, 281220.253, 41, 1292230, 18446744073708848654, 269820.236, 11199.686, 198.576, 0.959, 0.575
22, 281195.472, 0.462, 0.000, 30203.83, 0.0052, 281195.472, 42, 1268547, 18446744073708861390, 267134.536, 13860.605, 198.576, 0.950, 0.832
23, 281157.813, 0.462, 0.000, 23676.42, 0.0044, 281157.813, 53, 1254836, 18446744073708868998, 264396.244, 16561.238, 198.576, 0.940, 0.838
24, 281110.366, 0.460, 0.000, 41884.35, 0.0012, 281110.366, 31, 1298401, 18446744073708845366, 272450.697, 8459.338, 198.576, 0.969, 0.903
25, 281243.907, 0.468, 0.000, 18279.12, 0.0078, 281243.907, 66, 1206408, 18446744073708894638, 256976.165, 24067.411, 198.576, 0.914, 0.780
26, 281081.432, 0.458, 0.000, 27487.43, 0.0093, 281081.432, 46, 1264408, 18446744073708863374, 263803.565, 17077.536, 198.576, 0.939, 0.771
27, 281080.658, 0.461, 0.000, 21257.12, 0.0017, 281080.658, 59, 1254156, 18446744073708869550, 263842.506, 17037.821, 198.576, 0.939, 0.877
28, 281063.684, 0.462, 0.000, 30195.38, 0.0043, 281063.684, 42, 1268192, 18446744073708861566, 267002.748, 13860.605, 198.576, 0.950, 0.846
29, 281213.429, 0.469, 0.000, 28920.40, 0.0061, 281213.429, 43, 1243563, 18446744073708875030, 266000.752, 15012.346, 198.576, 0.946, 0.820
30, 281218.263, 0.462, 0.000, 65146.20, 0.0015, 281218.263, 20, 1302910, 18446744073708842991, 274385.202, 6632.438, 198.576, 0.976, 0.891
31, 281208.011, 0.461, 0.000, 35496.17, 0.0030, 281208.011, 36, 1277847, 18446744073708856342, 268815.113, 12192.566, 198.576, 0.956, 0.870
32, 281121.349, 0.460, 0.000, 27270.74, 0.0059, 281121.349, 46, 1254440, 18446744073708868862, 262691.741, 18229.277, 198.576, 0.934, 0.818
33, 281178.484, 0.464, 0.000, 27250.30, 0.0043, 281178.484, 46, 1253500, 18446744073708869590, 265092.073, 15886.080, 198.576, 0.943, 0.844
34, 281172.612, 0.488, 0.000, 9465.16, 0.0256, 281172.612, 111, 1050619, 18446744073708977406, 232440.306, 48531.974, 198.576, 0.827, 0.584
35, 281101.440, 0.471, 0.000, 12383.18, 0.0202, 281101.440, 92, 1139239, 18446744073708930634, 244044.233, 36855.706, 198.576, 0.868, 0.632
36, 281216.293, 0.461, 0.000, 35685.56, 0.0039, 281216.293, 36, 1284662, 18446744073708852814, 270133.998, 10881.965, 198.576, 0.961, 0.855
37, 281197.502, 0.465, 0.000, 20743.48, 0.0015, 281197.502, 60, 1244595, 18446744073708874894, 263959.350, 17037.821, 198.576, 0.939, 0.880
38, 281100.742, 0.461, 0.000, 21274.41, 0.0018, 281100.742, 59, 1255176, 18446744073708869006, 263981.736, 16918.675, 198.576, 0.939, 0.875
