id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281229.484, 0.311, 0.000, 270147.14, 0.0000, 281229.484, 7, 1891030, 18446744073708558510, 279202.254, 2025.475, 0.000, 0.993, 0.842
1, 281185.011, 0.308, 0.000, 318038.50, 0.0000, 281185.011, 6, 1908217, 18446744073708549725, 279228.144, 1747.469, 198.576, 0.993, 0.816
2, 281052.218, 0.308, 0.000, 317290.83, 0.0000, 281052.218, 6, 1903700, 18446744073708552566, 279024.988, 1826.899, 198.576, 0.993, 0.816
3, 281096.513, 0.308, 0.000, 272839.71, 0.0000, 281096.513, 7, 1909864, 18446744073708548047, 278949.845, 1946.045, 198.576, 0.992, 0.839
4, 281207.104, 0.314, 0.000, 312149.00, 0.0000, 281207.104, 6, 1872879, 18446744073708568302, 279219.589, 1787.184, 198.576, 0.993, 0.816
5, 281246.484, 0.311, 0.000, 235885.12, 0.0000, 281246.484, 8, 1887067, 18446744073708560766, 278901.532, 2144.621, 198.576, 0.992, 0.857
6, 281215.929, 0.310, 0.000, 270510.14, 0.1633, 281215.929, 7, 1893557, 18446744073708557566, 278950.408, 2065.190, 198.576, 0.992, 0.136
7, 281057.641, 0.307, 0.000, 318597.17, 0.0000, 281057.641, 6, 1911569, 18446744073708548110, 279030.410, 1826.899, 198.576, 0.993, 0.816
8, 281110.522, 0.308, 0.000, 272463.86, 0.0000, 281110.522, 7, 1907233, 18446744073708550047, 278963.854, 1946.045, 198.576, 0.992, 0.840
9, 281247.682, 0.310, 0.000, 236630.12, 0.0000, 281247.682, 8, 1893026, 18446744073708557934, 278902.730, 2144.621, 198.576, 0.992, 0.857
10, 281153.660, 0.310, 0.000, 270300.43, 0.0000, 281153.660, 7, 1892089, 18446744073708558278, 279007.284, 1946.045, 198.576, 0.992, 0.840
11, 281067.095, 0.307, 0.000, 319354.00, 0.0000, 281067.095, 6, 1916110, 18446744073708545638, 279079.580, 1787.184, 198.576, 0.993, 0.816
12, 281079.981, 0.310, 0.000, 315552.33, 0.0000, 281079.981, 6, 1893300, 18446744073708557494, 279132.181, 1747.469, 198.576, 0.993, 0.816
13, 281190.689, 0.306, 0.000, 320210.50, 0.0000, 281190.689, 6, 1921249, 18446744073708543094, 279163.459, 1826.899, 198.576, 0.993, 0.816
