id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281182.271, 1.978, 0.000, 51571.83, 0.3811, 281182.271, 6, 309431, 18446744073709383390, 279274.186, 1906.330, 0.000, 0.993, 0.280
1, 281178.696, 1.978, 0.000, 51520.17, 0.3811, 281178.696, 6, 309107, 18446744073709383566, 279072.035, 1906.330, 198.576, 0.993, 0.279
2, 281085.518, 1.978, 0.000, 51503.00, 0.3811, 281085.518, 6, 309004, 18446744073709383622, 278978.857, 1906.330, 198.576, 0.993, 0.279
3, 281178.696, 1.978, 0.000, 51520.17, 0.3811, 281178.696, 6, 309107, 18446744073709383566, 279072.035, 1906.330, 198.576, 0.993, 0.279
4, 281031.827, 1.979, 0.000, 61842.00, 0.2287, 281031.827, 5, 309196, 18446744073709383518, 279163.458, 1668.038, 198.576, 0.993, 0.362
5, 281073.887, 0.838, 0.000, 7877.24, 0.0431, 281073.887, 83, 653797, 18446744073709190318, 245169.591, 35703.965, 198.576, 0.872, 0.604
6, 281236.232, 0.427, 0.000, 4098.29, 0.0359, 281236.232, 230, 942592, 18446744073709029574, 179642.995, 101392.906, 198.576, 0.639, 0.435
7, 281135.542, 0.421, 0.000, 4037.89, 0.0344, 281135.542, 235, 948889, 18446744073709026463, 178549.133, 102385.786, 198.576, 0.635, 0.436
8, 281172.262, 0.377, 0.000, 6328.95, 0.0234, 281172.262, 203, 1284762, 18446744073708826494, 210874.603, 70097.328, 198.576, 0.750, 0.509
9, 281172.459, 0.357, 0.000, 12421.30, 0.0112, 281172.459, 122, 1515385, 18446744073708704766, 238913.731, 42058.397, 198.576, 0.850, 0.664
10, 281182.973, 0.372, 0.000, 7710.71, 0.0155, 281182.973, 176, 1357071, 18446744073708785858, 220058.355, 60923.117, 198.576, 0.783, 0.587
11, 69209.877, 0.341, 0.000, 219198.00, 0.0082, 69209.877, 2, 438378, 18446744073709313057, 67802.913, 794.304, 198.576, 0.980, 0.358
