id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
0, 281161.619, 0.404, 0.000, 3925.07, 0.0396, 281161.619, 245, 961643, 18446744073709027376, 176790.074, 104371.546, 0.000, 0.629, 0.403, 0
1, 281039.064, 0.445, 0.000, 2942.97, 0.0450, 281039.064, 273, 803431, 18446744073709117144, 164236.661, 116603.827, 198.576, 0.584, 0.381, 0
2, 281187.348, 0.443, 0.000, 3032.95, 0.0484, 281187.348, 271, 821930, 18446744073709108928, 168038.743, 112950.029, 198.576, 0.598, 0.372, 0
3, 281113.094, 0.411, 0.000, 4223.23, 0.0475, 281113.094, 225, 950226, 18446744073709040528, 180276.201, 100638.317, 198.576, 0.641, 0.381, 0
4, 281071.670, 0.441, 0.000, 3183.22, 0.0450, 281071.670, 263, 837187, 18446744073709100336, 170226.546, 110646.547, 198.576, 0.606, 0.386, 0
5, 281124.340, 0.431, 0.000, 3342.32, 0.0519, 281124.340, 256, 855634, 18446744073709090080, 169961.496, 110964.269, 198.576, 0.605, 0.362, 0
6, 281092.587, 0.429, 0.000, 3387.39, 0.0538, 281092.587, 254, 860397, 18446744073709085480, 168976.578, 111917.434, 198.576, 0.601, 0.356, 0
7, 281060.836, 0.432, 0.000, 3335.63, 0.0423, 281060.836, 256, 853922, 18446744073709090896, 169937.707, 110924.554, 198.576, 0.605, 0.394, 0
8, 281206.512, 0.448, 0.000, 3275.06, 0.0469, 281206.512, 256, 838416, 18446744073709099568, 173062.023, 107945.914, 198.576, 0.615, 0.385, 0
9, 281108.545, 0.440, 0.000, 3392.56, 0.0437, 281108.545, 252, 854924, 18446744073709090736, 173480.353, 107429.616, 198.576, 0.617, 0.395, 0
10, 281225.887, 0.444, 0.000, 3174.72, 0.0436, 281225.887, 262, 831776, 18446744073709102744, 169983.612, 111043.699, 198.576, 0.604, 0.392, 0
11, 281120.654, 0.442, 0.000, 3187.16, 0.0431, 281120.654, 261, 831850, 18446744073709101224, 168726.638, 112195.440, 198.576, 0.600, 0.393, 0
12, 281187.789, 0.419, 0.000, 3940.71, 0.0371, 281187.789, 237, 933948, 18446744073709050544, 181542.352, 99446.861, 198.576, 0.646, 0.422, 0
13, 281162.458, 0.407, 0.000, 4013.81, 0.0405, 281162.458, 238, 955287, 18446744073709037944, 179650.407, 101313.475, 198.576, 0.639, 0.402, 0
14, 281207.965, 0.414, 0.000, 4575.47, 0.0434, 281207.965, 216, 988302, 18446744073709022600, 190339.587, 90669.802, 198.576, 0.677, 0.404, 0
15, 281113.289, 0.456, 0.000, 3064.18, 0.0445, 281113.289, 264, 808943, 18446744073709115416, 170149.020, 110765.693, 198.576, 0.605, 0.392, 0
16, 281146.062, 0.431, 0.000, 3572.73, 0.0457, 281146.062, 248, 886037, 18446744073709074008, 175940.497, 105006.989, 198.576, 0.626, 0.387, 0
17, 281063.931, 0.427, 0.000, 3551.01, 0.0522, 281063.931, 250, 887752, 18446744073709074592, 175262.638, 105602.717, 198.576, 0.624, 0.363, 0
18, 281058.998, 0.434, 0.000, 3106.70, 0.0524, 281058.998, 268, 832595, 18446744073709102848, 166520.361, 114340.061, 198.576, 0.592, 0.357, 0
19, 281104.959, 0.445, 0.000, 3129.52, 0.0440, 281104.959, 263, 823063, 18446744073709108328, 168949.234, 111957.149, 198.576, 0.601, 0.390, 0
20, 281154.723, 0.433, 0.000, 3636.59, 0.0414, 281154.723, 238, 865509, 18446744073709083296, 172017.354, 108938.794, 198.576, 0.612, 0.405, 0
21, 281228.325, 0.436, 0.000, 3048.71, 0.0437, 281228.325, 272, 829249, 18446744073709104872, 166769.119, 114260.630, 198.576, 0.593, 0.384, 0
22, 281166.428, 0.453, 0.000, 3047.39, 0.0479, 281166.428, 265, 807558, 18446744073709116168, 168454.690, 112513.162, 198.576, 0.599, 0.379, 0
23, 281151.222, 0.436, 0.000, 3307.53, 0.0433, 281151.222, 257, 850035, 18446744073709092648, 170345.814, 110606.832, 198.576, 0.606, 0.392, 0
24, 281247.097, 0.420, 0.000, 3691.38, 0.0442, 281247.097, 243, 897006, 18446744073709068544, 173658.620, 107389.901, 198.576, 0.617, 0.389, 0
25, 281172.451, 0.428, 0.000, 3159.65, 0.0466, 281172.451, 267, 843626, 18446744073709095192, 165640.934, 115332.941, 198.576, 0.589, 0.373, 0
26, 281078.858, 0.437, 0.000, 3091.74, 0.0439, 281078.858, 268, 828586, 18446744073709105024, 166778.512, 114101.770, 198.576, 0.593, 0.385, 0
27, 281163.833, 0.441, 0.000, 3294.22, 0.0431, 281163.833, 257, 846615, 18446744073709095568, 172264.755, 108700.502, 198.576, 0.613, 0.395, 0
28, 281240.127, 0.443, 0.000, 3098.22, 0.0440, 281240.127, 266, 824126, 18446744073709107184, 168210.668, 112830.883, 198.576, 0.598, 0.388, 0
29, 281127.290, 0.428, 0.000, 3406.38, 0.0418, 281127.290, 255, 868627, 18446744073709082664, 170877.894, 110050.819, 198.576, 0.608, 0.395, 0
30, 281186.799, 0.441, 0.000, 3081.82, 0.0533, 281186.799, 266, 819765, 18446744073709108104, 166012.719, 114975.504, 198.576, 0.590, 0.357, 0
31, 281144.381, 0.429, 0.000, 3531.05, 0.0430, 281144.381, 247, 872169, 18446744073709081896, 172602.739, 108343.066, 198.576, 0.614, 0.395, 0
32, 281127.171, 0.447, 0.000, 3432.19, 0.0495, 281127.171, 247, 847751, 18446744073709095936, 175365.593, 105563.002, 198.576, 0.624, 0.380, 0
