id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281185.306, 0.452, 0.000, 169209.50, 0.2857, 281185.306, 8, 1353676, 18446744073708815602, 279196.621, 1985.760, 0.000, 0.993, 0.119
1, 281229.250, 0.488, 0.000, 155049.50, 0.0000, 281229.250, 8, 1240378, 18446744073708882614, 279003.444, 2025.475, 198.576, 0.992, 0.853
2, 281092.938, 0.467, 0.000, 184864.43, 0.0000, 281092.938, 7, 1294037, 18446744073708854830, 279105.423, 1787.184, 198.576, 0.993, 0.836
3, 281173.503, 0.483, 0.000, 156685.88, 0.0000, 281173.503, 8, 1253473, 18446744073708875710, 278868.266, 2104.906, 198.576, 0.992, 0.853
4, 281054.445, 0.497, 0.000, 174387.57, 0.0000, 281054.445, 7, 1220699, 18446744073708892734, 279106.646, 1747.469, 198.576, 0.993, 0.835
5, 281192.682, 0.485, 0.000, 178129.86, 0.0000, 281192.682, 7, 1246895, 18446744073708879638, 279086.021, 1906.330, 198.576, 0.993, 0.835
6, 281104.578, 0.488, 0.000, 177381.14, 0.0000, 281104.578, 7, 1241654, 18446744073708881998, 279156.778, 1747.469, 198.576, 0.993, 0.835
7, 281174.746, 0.470, 0.000, 184710.86, 0.0000, 281174.746, 7, 1292962, 18446744073708852926, 279028.370, 1946.045, 198.576, 0.992, 0.835
8, 281158.242, 0.473, 0.000, 182840.86, 0.0000, 281158.242, 7, 1279872, 18446744073708862022, 279170.727, 1787.184, 198.576, 0.993, 0.835
9, 281176.501, 0.437, 0.000, 196252.29, 0.0000, 281176.501, 7, 1373752, 18446744073708816270, 279030.125, 1946.045, 198.576, 0.992, 0.836
10, 281061.508, 0.466, 0.000, 185647.43, 0.0000, 281061.508, 7, 1299518, 18446744073708851414, 279034.278, 1826.899, 198.576, 0.993, 0.835
11, 281200.247, 0.463, 0.000, 162864.25, 0.0000, 281200.247, 8, 1302900, 18446744073708850543, 278894.718, 2104.906, 198.576, 0.992, 0.854
12, 281248.249, 0.463, 0.000, 186751.86, 0.0000, 281248.249, 7, 1307248, 18446744073708847038, 279221.019, 1826.899, 198.576, 0.993, 0.835
13, 281250.000, 0.479, 0.000, 140226.33, 0.0000, 281250.910, 9, 1262023, 18446744073708872726, 279066.574, 1985.760, 198.576, 0.992, 0.867
14, 281206.603, 0.456, 0.000, 166318.88, 0.0000, 281206.603, 8, 1330537, 18446744073708832568, 279059.642, 1946.045, 198.576, 0.992, 0.853
15, 281249.962, 0.458, 0.000, 49000.92, 0.0482, 281249.962, 26, 1274008, 18446744073708864262, 268737.919, 12311.712, 198.576, 0.956, 0.460
16, 281089.268, 0.451, 0.000, 5480.07, 0.0368, 281089.268, 175, 958999, 18446744073709033846, 199194.771, 81694.166, 198.576, 0.709, 0.466
17, 280981.247, 0.428, 0.000, 3364.02, 0.0439, 280981.247, 252, 847719, 18446744073709094926, 167513.165, 113267.750, 198.576, 0.596, 0.387
18, 281201.387, 0.410, 0.000, 3433.15, 0.0495, 281201.387, 254, 872007, 18446744073709081574, 164675.235, 116325.821, 198.576, 0.586, 0.360
19, 281228.088, 0.408, 0.000, 3711.29, 0.0459, 281228.088, 241, 894407, 18446744073709068634, 167877.982, 113148.605, 198.576, 0.597, 0.376
20, 281182.765, 0.418, 0.000, 3527.20, 0.0445, 281182.765, 247, 871200, 18446744073709081910, 167992.690, 112989.744, 198.576, 0.597, 0.383
21, 281131.476, 0.412, 0.000, 3555.54, 0.0442, 281131.476, 247, 878204, 18446744073709077582, 166432.223, 114498.922, 198.576, 0.592, 0.381
22, 281066.452, 0.388, 0.000, 3718.74, 0.0459, 281066.452, 246, 914796, 18446744073709056518, 162792.832, 118073.290, 198.576, 0.579, 0.365
23, 281228.076, 0.422, 0.000, 3519.57, 0.0516, 281228.076, 244, 858762, 18446744073709090158, 167759.995, 113267.750, 198.576, 0.597, 0.362
24, 281077.074, 0.421, 0.000, 3617.63, 0.0493, 281077.074, 241, 871834, 18446744073709081322, 168997.855, 111877.718, 198.576, 0.601, 0.370
25, 281211.109, 0.426, 0.000, 3529.18, 0.0577, 281211.109, 245, 864630, 18446744073709085454, 169808.218, 111202.560, 198.576, 0.604, 0.346
26, 281143.235, 0.404, 0.000, 3604.47, 0.0437, 281143.235, 246, 886686, 18446744073709072942, 164656.798, 116286.106, 198.576, 0.586, 0.379
27, 281165.890, 0.429, 0.000, 3297.79, 0.0560, 281165.890, 253, 834326, 18446744073709101754, 165115.150, 115849.238, 198.576, 0.587, 0.348
28, 281179.563, 0.416, 0.000, 3712.25, 0.0514, 281179.563, 241, 894634, 18446744073709070142, 171881.577, 109097.654, 198.576, 0.611, 0.363
29, 281167.391, 0.426, 0.000, 3162.86, 0.0472, 281167.391, 261, 825493, 18446744073709106383, 162019.743, 118947.024, 198.576, 0.576, 0.370
30, 281111.676, 0.414, 0.000, 4145.36, 0.0413, 281111.676, 225, 932692, 18446744073709050182, 178525.559, 102385.786, 198.576, 0.635, 0.405
31, 281074.473, 0.413, 0.000, 3504.36, 0.0446, 281074.473, 249, 872571, 18446744073709081255, 166017.491, 114856.358, 198.576, 0.591, 0.379
32, 281206.827, 0.423, 0.000, 3319.87, 0.0445, 281206.827, 257, 853192, 18446744073709091582, 166428.144, 114578.352, 198.576, 0.592, 0.381
33, 281133.080, 0.404, 0.000, 3400.17, 0.0443, 281133.080, 254, 863630, 18446744073709083879, 160118.818, 120813.638, 198.576, 0.570, 0.373
34, 281057.438, 0.409, 0.000, 3508.94, 0.0525, 281057.438, 251, 880728, 18446744073709076570, 166118.724, 114737.213, 198.576, 0.591, 0.352
