id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281130.538, 0.293, 0.000, 298956.86, 0.0000, 281130.538, 7, 2092698, 18446744073708411494, 279182.738, 1946.045, 0.000, 0.993, 0.836
1, 281250.000, 0.293, 0.000, 261507.62, 0.0000, 281250.952, 8, 2092047, 18446744073708411742, 278985.430, 2065.190, 198.576, 0.992, 0.852
2, 281229.338, 0.293, 0.000, 299001.43, 0.0000, 281229.338, 7, 2092996, 18446744073708411398, 279162.393, 1866.614, 198.576, 0.993, 0.833
3, 281073.436, 0.293, 0.000, 298971.00, 0.0000, 281073.436, 7, 2092783, 18446744073708411078, 279006.490, 1866.614, 198.576, 0.993, 0.833
4, 281214.713, 0.293, 0.000, 299030.86, 0.0000, 281214.713, 7, 2093202, 18446744073708411142, 279147.768, 1866.614, 198.576, 0.993, 0.833
5, 281153.288, 0.293, 0.000, 299063.57, 0.0000, 281153.288, 7, 2093431, 18446744073708410703, 279086.050, 1866.614, 198.576, 0.993, 0.833
6, 281190.632, 0.293, 0.000, 261398.00, 0.1429, 281190.632, 8, 2091169, 18446744073708412278, 278885.395, 2104.906, 198.576, 0.992, 0.147
7, 281169.603, 0.293, 0.000, 298963.00, 0.1633, 281169.603, 7, 2092727, 18446744073708411327, 279062.650, 1906.330, 198.576, 0.993, 0.129
8, 281142.662, 0.293, 0.000, 261364.50, 0.1429, 281142.662, 8, 2090901, 18446744073708412382, 278837.425, 2104.906, 198.576, 0.992, 0.147
9, 281166.939, 0.293, 0.000, 261407.62, 0.1429, 281166.939, 8, 2091247, 18446744073708412119, 278861.410, 2104.906, 198.576, 0.992, 0.147
10, 281163.364, 0.293, 0.000, 261404.38, 0.2857, 281163.364, 8, 2091220, 18446744073708411998, 278818.413, 2144.621, 198.576, 0.992, 0.081
11, 281248.027, 0.293, 0.000, 261420.25, 0.0000, 281248.027, 8, 2091348, 18446744073708412431, 278982.213, 2065.190, 198.576, 0.992, 0.852
12, 281094.496, 0.293, 0.000, 298987.14, 0.0000, 281094.496, 7, 2092895, 18446744073708411038, 279027.550, 1866.614, 198.576, 0.993, 0.833
13, 281188.942, 0.293, 0.000, 261443.12, 0.0000, 281188.942, 8, 2091531, 18446744073708412046, 278923.420, 2065.190, 198.576, 0.992, 0.852
14, 281237.204, 0.293, 0.000, 261513.25, 0.0000, 281237.204, 8, 2092092, 18446744073708411650, 278970.513, 2065.190, 198.576, 0.992, 0.852
