id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281133.039, 0.293, 0.000, 269469.12, 0.1429, 281133.039, 8, 2155753, 18446744073708349398, 279185.239, 1946.045, 0.000, 0.993, 0.147
1, 281080.226, 0.293, 0.000, 269501.25, 0.1429, 281080.226, 8, 2155996, 18446744073708349246, 279092.711, 1787.184, 198.576, 0.993, 0.146
2, 281182.049, 0.293, 0.000, 239508.11, 0.1270, 281182.049, 9, 2155559, 18446744073708349488, 278995.373, 1985.760, 198.576, 0.992, 0.164
3, 281163.296, 0.293, 0.000, 269582.00, 0.2857, 281163.296, 8, 2156640, 18446744073708348886, 279136.066, 1826.899, 198.576, 0.993, 0.080
4, 281072.393, 0.293, 0.000, 269532.38, 0.1429, 281072.393, 8, 2156245, 18446744073708349106, 279083.708, 1787.184, 198.576, 0.993, 0.146
5, 281243.150, 0.293, 0.000, 215450.90, 0.1143, 281243.150, 10, 2154491, 18446744073708350086, 278858.483, 2184.336, 198.576, 0.992, 0.181
6, 281107.493, 0.293, 0.000, 269566.75, 0.1429, 281107.493, 8, 2156520, 18446744073708348951, 279119.686, 1787.184, 198.576, 0.993, 0.146
7, 281120.526, 0.293, 0.000, 269502.50, 0.4286, 281120.526, 8, 2156005, 18446744073708349239, 279053.288, 1866.614, 198.576, 0.993, 0.055
8, 281061.247, 0.293, 0.000, 239404.78, 0.1270, 281061.247, 9, 2154628, 18446744073708350006, 278875.156, 1985.760, 198.576, 0.992, 0.164
9, 281208.374, 0.293, 0.000, 239530.78, 0.1270, 281208.374, 9, 2155763, 18446744073708349374, 279022.283, 1985.760, 198.576, 0.992, 0.164
10, 281154.490, 0.293, 0.000, 239449.89, 0.1270, 281154.490, 9, 2155035, 18446744073708349782, 278968.399, 1985.760, 198.576, 0.992, 0.164
11, 281228.849, 0.293, 0.000, 239548.22, 0.1270, 281228.849, 9, 2155920, 18446744073708349287, 279042.466, 1985.760, 198.576, 0.992, 0.164
12, 281066.706, 0.293, 0.000, 269450.50, 0.4286, 281066.706, 8, 2155589, 18446744073708349471, 278999.468, 1866.614, 198.576, 0.993, 0.055
13, 281248.447, 0.293, 0.000, 239565.44, 0.1270, 281248.447, 9, 2156074, 18446744073708349200, 279061.771, 1985.760, 198.576, 0.992, 0.164
14, 281221.537, 0.293, 0.000, 239542.22, 0.1270, 281221.537, 9, 2155864, 18446744073708349318, 279035.446, 1985.760, 198.576, 0.992, 0.164
15, 281227.972, 0.293, 0.000, 239548.00, 0.1270, 281227.972, 9, 2155918, 18446744073708349286, 279041.881, 1985.760, 198.576, 0.992, 0.164
16, 281194.301, 0.293, 0.000, 269611.00, 0.1429, 281194.301, 8, 2156874, 18446744073708348758, 279206.786, 1787.184, 198.576, 0.993, 0.146
17, 281119.129, 0.293, 0.000, 269538.88, 0.1429, 281119.129, 8, 2156297, 18446744073708349078, 279131.614, 1787.184, 198.576, 0.993, 0.146
18, 281060.921, 0.293, 0.000, 269483.00, 0.2857, 281060.921, 8, 2155850, 18446744073708349326, 279033.691, 1826.899, 198.576, 0.993, 0.080
19, 281220.237, 0.293, 0.000, 239473.00, 0.3810, 281220.237, 9, 2155243, 18446744073708349663, 278954.423, 2065.190, 198.576, 0.992, 0.063
20, 281248.447, 0.293, 0.000, 239565.44, 0.1270, 281248.447, 9, 2156074, 18446744073708349200, 279061.771, 1985.760, 198.576, 0.992, 0.164
21, 281158.129, 0.293, 0.000, 239521.67, 0.0000, 281158.129, 9, 2155679, 18446744073708349422, 279011.753, 1946.045, 198.576, 0.992, 0.863
22, 281088.124, 0.293, 0.000, 269508.62, 0.1429, 281088.124, 8, 2156055, 18446744073708349214, 279100.609, 1787.184, 198.576, 0.993, 0.146
23, 281086.045, 0.293, 0.000, 239391.00, 0.1270, 281086.045, 9, 2154505, 18446744073708350078, 278899.954, 1985.760, 198.576, 0.992, 0.164
24, 281122.315, 0.293, 0.000, 239421.22, 0.1270, 281122.315, 9, 2154777, 18446744073708349930, 278935.054, 1985.760, 198.576, 0.992, 0.164
