id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281063.022, 1.095, 0.000, 92116.83, 0.1905, 281063.022, 6, 552701, 18446744073709253902, 279274.083, 1787.184, 0.000, 0.994, 0.300
1, 281178.999, 1.049, 0.000, 97291.67, 0.3810, 281178.999, 6, 583736, 18446744073709233990, 279191.484, 1787.184, 198.576, 0.993, 0.177
2, 281128.647, 1.024, 0.000, 99671.83, 0.1905, 281128.647, 6, 598017, 18446744073709226190, 279141.132, 1787.184, 198.576, 0.993, 0.286
3, 281116.460, 1.026, 0.000, 119425.00, 0.2287, 281116.460, 5, 597111, 18446744073709226647, 279287.513, 1628.323, 198.576, 0.993, 0.242
4, 281051.989, 1.050, 0.000, 83205.29, 0.3266, 281051.989, 7, 582422, 18446744073709234734, 278865.898, 1985.760, 198.576, 0.992, 0.205
5, 281029.160, 1.014, 0.000, 100665.00, 0.1905, 281029.160, 6, 603976, 18446744073709222878, 279001.930, 1826.899, 198.576, 0.993, 0.284
6, 281019.483, 1.035, 0.000, 98565.00, 0.1905, 281019.483, 6, 591376, 18446744073709229878, 279031.968, 1787.184, 198.576, 0.993, 0.288
7, 281197.551, 1.033, 0.000, 84669.57, 0.3266, 281197.551, 7, 592673, 18446744073709229054, 279011.460, 1985.760, 198.576, 0.992, 0.203
8, 281190.499, 1.036, 0.000, 98538.67, 0.1905, 281190.499, 6, 591218, 18446744073709229806, 279202.984, 1787.184, 198.576, 0.993, 0.288
9, 281249.094, 1.027, 0.000, 85126.14, 0.3266, 281249.094, 7, 595869, 18446744073709227398, 278985.327, 2065.190, 198.576, 0.992, 0.202
10, 281123.150, 1.014, 0.000, 100646.67, 0.1905, 281123.150, 6, 603866, 18446744073709222902, 279056.205, 1866.614, 198.576, 0.993, 0.284
11, 281205.293, 1.052, 0.000, 97065.33, 0.3810, 281205.293, 6, 582378, 18446744073709234759, 279217.485, 1787.184, 198.576, 0.993, 0.177
12, 281109.471, 1.023, 0.000, 99725.00, 0.1905, 281109.471, 6, 598335, 18446744073709226078, 279082.241, 1826.899, 198.576, 0.993, 0.286
13, 281217.756, 1.007, 0.000, 86884.71, 0.0001, 281217.756, 7, 608179, 18446744073709220406, 279031.665, 1985.760, 198.576, 0.992, 0.834
14, 281210.258, 1.032, 0.000, 84762.43, 0.2903, 281210.258, 7, 593323, 18446744073709228719, 278984.159, 2025.475, 198.576, 0.992, 0.221
