id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281210.462, 0.294, 0.000, 289193.43, 0.0000, 281210.462, 7, 2024354, 18446744073708475359, 279182.940, 2025.475, 0.000, 0.993, 0.840
1, 281164.597, 0.293, 0.000, 339096.83, 0.0000, 281164.597, 6, 2034566, 18446744073708470014, 279216.798, 1747.469, 198.576, 0.993, 0.813
2, 281128.912, 0.293, 0.000, 338999.17, 0.0000, 281128.912, 6, 2033981, 18446744073708470477, 279172.045, 1747.469, 198.576, 0.993, 0.814
3, 281148.056, 0.293, 0.000, 290382.29, 0.1633, 281148.056, 7, 2032631, 18446744073708470942, 278922.250, 2025.475, 198.576, 0.992, 0.129
4, 281102.263, 0.293, 0.000, 290324.43, 0.0000, 281102.263, 7, 2032257, 18446744073708471431, 278955.595, 1946.045, 198.576, 0.992, 0.838
5, 281237.106, 0.293, 0.000, 290627.14, 0.0000, 281237.106, 7, 2034375, 18446744073708469774, 279090.730, 1946.045, 198.576, 0.992, 0.838
6, 281072.167, 0.293, 0.000, 339149.33, 0.0000, 281072.167, 6, 2034882, 18446744073708469382, 279124.368, 1747.469, 198.576, 0.993, 0.813
7, 281249.098, 0.293, 0.000, 290651.14, 0.0000, 281249.098, 7, 2034544, 18446744073708469646, 279102.723, 1946.045, 198.576, 0.992, 0.838
8, 281132.943, 0.293, 0.000, 338984.00, 0.0000, 281132.943, 6, 2033890, 18446744073708470446, 279145.428, 1787.184, 198.576, 0.993, 0.813
9, 281134.731, 0.293, 0.000, 290461.57, 0.0000, 281134.731, 7, 2033217, 18446744073708470582, 278988.355, 1946.045, 198.576, 0.992, 0.838
10, 281223.327, 0.293, 0.000, 253981.88, 0.0000, 281223.327, 8, 2031841, 18446744073708471582, 278878.375, 2144.621, 198.576, 0.992, 0.855
11, 281117.797, 0.293, 0.000, 339092.83, 0.0000, 281117.797, 6, 2034543, 18446744073708469877, 279160.930, 1747.469, 198.576, 0.993, 0.813
12, 281105.155, 0.293, 0.000, 340283.83, 0.0000, 281105.155, 6, 2041658, 18446744073708462583, 279117.348, 1787.184, 198.576, 0.993, 0.813
13, 281189.364, 0.293, 0.000, 291831.29, 0.1633, 281189.364, 7, 2042804, 18446744073708461046, 279003.273, 1985.760, 198.576, 0.992, 0.129
14, 281120.106, 0.293, 0.000, 290515.00, 0.0000, 281120.106, 7, 2033591, 18446744073708470158, 278973.730, 1946.045, 198.576, 0.992, 0.838
15, 281195.441, 0.293, 0.000, 290497.00, 0.3265, 281195.441, 7, 2033465, 18446744073708470270, 278969.635, 2025.475, 198.576, 0.992, 0.070
