id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
0, 281099.945, 1.278, 0.000, 607.51, 0.1647, 281099.945, 357, 216880, 18446744073709433704, 126448.956, 154650.989, 0.000, 0.450, 0.302, 0
1, 281051.747, 1.278, 0.000, 607.34, 0.1640, 281051.747, 357, 216819, 18446744073709433736, 126440.474, 154412.698, 198.576, 0.450, 0.302, 0
2, 281051.747, 1.278, 0.000, 609.04, 0.1644, 281051.747, 356, 216819, 18446744073709433736, 126440.474, 154412.698, 198.576, 0.450, 0.302, 0
3, 281051.747, 1.278, 0.000, 609.04, 0.1644, 281051.747, 356, 216819, 18446744073709433736, 126440.474, 154412.698, 198.576, 0.450, 0.302, 0
4, 281051.747, 1.278, 0.000, 609.04, 0.1644, 281051.747, 356, 216819, 18446744073709433736, 126440.474, 154412.698, 198.576, 0.450, 0.302, 0
5, 281051.747, 1.278, 0.000, 609.04, 0.1644, 281051.747, 356, 216819, 18446744073709433736, 126440.474, 154412.698, 198.576, 0.450, 0.302, 0
6, 281051.747, 1.278, 0.000, 609.04, 0.1644, 281051.747, 356, 216819, 18446744073709433736, 126440.474, 154412.698, 198.576, 0.450, 0.302, 0
7, 281205.474, 0.921, 0.000, 885.74, 0.1282, 281205.474, 356, 315323, 18446744073709378392, 130883.442, 150123.456, 198.576, 0.465, 0.297, 0
8, 281138.478, 0.437, 0.000, 2421.34, 0.0341, 281138.478, 324, 784515, 18446744073709116712, 152937.813, 128002.090, 198.576, 0.544, 0.394, 0
9, 281249.074, 0.422, 0.000, 2733.33, 0.0354, 281249.074, 306, 836399, 18446744073709088560, 157695.087, 123355.411, 198.576, 0.561, 0.395, 0
10, 281058.297, 0.412, 0.000, 3019.51, 0.0371, 281058.297, 295, 890756, 18446744073709057312, 163461.589, 117398.131, 198.576, 0.582, 0.393, 0
11, 281245.650, 0.379, 0.000, 7631.72, 0.0057, 281245.650, 181, 1381342, 18446744073708772392, 228384.718, 52662.355, 198.576, 0.812, 0.696, 0
12, 281065.101, 0.367, 0.000, 11421.55, 0.0180, 281065.101, 130, 1484801, 18446744073708719640, 239364.141, 41502.384, 198.576, 0.852, 0.591, 0
13, 281061.308, 0.369, 0.000, 10540.19, 0.0108, 281061.308, 139, 1465086, 18446744073708733232, 238367.468, 42495.264, 198.576, 0.848, 0.662, 0
14, 2522.200, 0.422, 0.000, -nan, -nan, 2522.200, 0, 0, 5500, 2323.624, 0.000, 198.576, 0.921, -nan, 0
