id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
0, 281133.039, 0.293, 0.000, 269470.88, 0.1429, 281133.039, 8, 2155767, 18446744073708349384, 279186.994, 1946.045, 0.000, 0.993, 0.147, 0
1, 281080.226, 0.293, 0.000, 269501.25, 0.1429, 281080.226, 8, 2156010, 18446744073708349232, 279094.466, 1787.184, 198.576, 0.993, 0.146, 0
2, 281061.149, 0.293, 0.000, 269445.12, 0.4286, 281061.149, 8, 2155561, 18446744073708349480, 278995.958, 1866.614, 198.576, 0.993, 0.055, 0
3, 281140.546, 0.293, 0.000, 269599.00, 0.1429, 281140.546, 8, 2156792, 18446744073708348792, 279154.786, 1787.184, 198.576, 0.993, 0.146, 0
4, 281213.347, 0.293, 0.000, 239534.44, 0.0000, 281213.347, 9, 2155810, 18446744073708349344, 279068.726, 1946.045, 198.576, 0.992, 0.863, 0
5, 281129.042, 0.293, 0.000, 239427.78, 0.1270, 281129.042, 9, 2154850, 18446744073708349880, 278944.706, 1985.760, 198.576, 0.992, 0.164, 0
6, 281197.780, 0.293, 0.000, 239486.78, 0.1270, 281197.780, 9, 2155381, 18446744073708349584, 279013.444, 1985.760, 198.576, 0.992, 0.164, 0
7, 281203.922, 0.293, 0.000, 239492.67, 0.2540, 281203.922, 9, 2155434, 18446744073708349552, 278979.871, 2025.475, 198.576, 0.992, 0.091, 0
8, 281204.800, 0.293, 0.000, 239493.89, 0.2540, 281204.800, 9, 2155445, 18446744073708349544, 278980.748, 2025.475, 198.576, 0.992, 0.091, 0
9, 281243.280, 0.293, 0.000, 239457.89, 0.3810, 281243.280, 9, 2155121, 18446744073708349728, 278979.514, 2065.190, 198.576, 0.992, 0.063, 0
10, 281244.352, 0.293, 0.000, 239562.22, 0.1270, 281244.352, 9, 2156060, 18446744073708349200, 279060.016, 1985.760, 198.576, 0.992, 0.164, 0
11, 281184.974, 0.293, 0.000, 239510.33, 0.1270, 281184.974, 9, 2155593, 18446744073708349464, 279000.638, 1985.760, 198.576, 0.992, 0.164, 0
12, 281182.440, 0.293, 0.000, 239405.44, 0.3810, 281182.440, 9, 2154649, 18446744073708349992, 278918.674, 2065.190, 198.576, 0.992, 0.063, 0
13, 281135.281, 0.293, 0.000, 269593.75, 0.1429, 281135.281, 8, 2156750, 18446744073708348816, 279149.521, 1787.184, 198.576, 0.993, 0.146, 0
14, 281233.594, 0.293, 0.000, 239586.56, 0.0000, 281233.594, 9, 2156279, 18446744073708349080, 279088.973, 1946.045, 198.576, 0.992, 0.863, 0
15, 281142.205, 0.293, 0.000, 239439.00, 0.1270, 281142.205, 9, 2154951, 18446744073708349824, 278957.869, 1985.760, 198.576, 0.992, 0.164, 0
16, 281121.080, 0.293, 0.000, 239387.44, 0.3810, 281121.080, 9, 2154487, 18446744073708350080, 278857.313, 2065.190, 198.576, 0.992, 0.063, 0
17, 281160.404, 0.293, 0.000, 239490.33, 0.1270, 281160.404, 9, 2155413, 18446744073708349560, 278976.068, 1985.760, 198.576, 0.992, 0.164, 0
