id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
0, 281103.234, 0.773, 0.000, 1230.86, 0.0902, 281103.234, 320, 393875, 18446744073709340224, 141146.870, 139956.365, 0.000, 0.502, 0.334, 0
1, 281238.947, 0.741, 0.000, 1275.55, 0.0925, 281238.947, 323, 412003, 18446744073709327448, 139098.246, 141942.125, 198.576, 0.495, 0.323, 0
2, 281112.917, 0.750, 0.000, 1256.43, 0.0937, 281112.917, 322, 404569, 18446744073709331464, 138297.057, 142617.283, 198.576, 0.492, 0.323, 0
3, 281052.751, 0.735, 0.000, 1297.50, 0.0914, 281052.751, 321, 416498, 18446744073709325032, 139626.923, 141227.251, 198.576, 0.497, 0.325, 0
4, 281105.884, 0.722, 0.000, 1322.63, 0.0906, 281105.884, 320, 423243, 18446744073709321320, 139402.050, 141505.258, 198.576, 0.496, 0.324, 0
5, 281213.722, 0.726, 0.000, 1350.63, 0.0907, 281213.722, 311, 420047, 18446744073709322848, 138953.876, 142061.270, 198.576, 0.494, 0.326, 0
6, 281135.113, 0.744, 0.000, 1248.97, 0.0906, 281135.113, 325, 405916, 18446744073709330736, 137723.526, 143213.011, 198.576, 0.490, 0.325, 0
7, 281127.731, 0.740, 0.000, 1292.84, 0.0889, 281127.731, 320, 413709, 18446744073709326448, 139582.758, 141346.397, 198.576, 0.497, 0.329, 0
8, 281191.166, 0.726, 0.000, 1322.12, 0.0896, 281191.166, 318, 420433, 18446744073709322928, 139209.326, 141783.264, 198.576, 0.495, 0.326, 0
9, 281057.534, 0.743, 0.000, 1243.32, 0.0898, 281057.534, 328, 407809, 18446744073709329664, 138122.529, 142736.429, 198.576, 0.491, 0.325, 0
10, 281158.832, 0.729, 0.000, 1283.35, 0.0941, 281158.832, 324, 415806, 18446744073709325272, 138064.966, 142895.290, 198.576, 0.491, 0.318, 0
11, 281236.765, 0.727, 0.000, 1336.89, 0.0900, 281236.765, 314, 419782, 18446744073709323056, 138937.203, 142100.986, 198.576, 0.494, 0.327, 0
12, 281071.607, 0.745, 0.000, 1267.20, 0.0941, 281071.607, 321, 406770, 18446744073709330208, 138017.457, 142855.574, 198.576, 0.491, 0.322, 0
13, 281108.911, 0.720, 0.000, 1238.11, 0.0819, 281108.911, 337, 417242, 18446744073709324480, 136783.874, 144126.461, 198.576, 0.487, 0.329, 0
14, 281182.099, 0.728, 0.000, 1322.35, 0.0891, 281182.099, 318, 420506, 18446744073709322824, 139517.980, 141465.542, 198.576, 0.496, 0.327, 0
15, 281128.741, 0.744, 0.000, 1266.17, 0.0896, 281128.741, 323, 408972, 18446744073709329016, 138590.888, 142339.277, 198.576, 0.493, 0.328, 0
16, 281075.802, 0.755, 0.000, 1243.34, 0.0910, 281075.802, 324, 402843, 18446744073709332520, 138657.095, 142220.131, 198.576, 0.493, 0.327, 0
17, 281201.961, 0.734, 0.000, 1266.65, 0.0889, 281201.961, 327, 414195, 18446744073709326080, 138505.247, 142498.138, 198.576, 0.493, 0.326, 0
18, 281087.654, 0.729, 0.000, 1311.47, 0.0927, 281087.654, 319, 418360, 18446744073709324104, 139105.814, 141783.264, 198.576, 0.495, 0.322, 0
19, 281129.587, 0.744, 0.000, 1238.20, 0.0896, 281129.587, 329, 407368, 18446744073709329944, 138075.437, 142855.574, 198.576, 0.491, 0.325, 0
20, 281065.754, 0.737, 0.000, 1267.92, 0.0907, 281065.754, 325, 412074, 18446744073709327328, 138408.755, 142458.422, 198.576, 0.492, 0.324, 0
21, 281111.352, 0.744, 0.000, 1279.32, 0.0899, 281111.352, 321, 410663, 18446744073709328216, 139407.519, 141505.258, 198.576, 0.496, 0.328, 0
22, 281066.735, 0.752, 0.000, 1243.99, 0.0896, 281066.735, 324, 403052, 18446744073709332280, 138092.015, 142776.144, 198.576, 0.491, 0.328, 0
23, 281224.742, 0.738, 0.000, 1293.36, 0.0881, 281224.742, 321, 415168, 18446744073709325728, 139719.485, 141306.682, 198.576, 0.497, 0.330, 0
24, 281160.126, 0.721, 0.000, 1337.93, 0.0925, 281160.126, 317, 424124, 18446744073709320896, 139376.862, 141584.688, 198.576, 0.496, 0.321, 0
25, 281206.571, 0.722, 0.000, 1362.05, 0.0928, 281206.571, 310, 422237, 18446744073709321584, 138748.148, 142259.846, 198.576, 0.493, 0.323, 0
26, 281233.423, 0.736, 0.000, 1264.13, 0.0934, 281233.423, 325, 410841, 18446744073709328048, 137742.405, 143292.442, 198.576, 0.490, 0.320, 0
27, 281116.519, 0.743, 0.000, 1295.35, 0.0906, 281116.519, 318, 411920, 18446744073709327384, 139452.401, 141465.542, 198.576, 0.496, 0.328, 0
28, 281056.028, 0.717, 0.000, 1357.36, 0.0893, 281056.028, 313, 424855, 18446744073709320488, 138994.757, 141862.694, 198.576, 0.495, 0.326, 0
29, 281071.896, 0.737, 0.000, 1272.05, 0.0928, 281071.896, 324, 412143, 18446744073709327280, 138494.328, 142378.992, 198.576, 0.493, 0.322, 0
30, 281108.298, 0.738, 0.000, 1247.09, 0.0904, 281108.298, 329, 410293, 18446744073709328304, 138054.147, 142855.574, 198.576, 0.491, 0.323, 0
31, 281053.306, 0.737, 0.000, 1277.12, 0.0898, 281053.306, 323, 412511, 18446744073709327120, 138475.738, 142378.992, 198.576, 0.493, 0.326, 0
32, 281149.316, 0.747, 0.000, 1259.57, 0.0902, 281149.316, 322, 405581, 18446744073709330848, 137976.020, 142974.720, 198.576, 0.491, 0.327, 0
33, 281074.003, 0.724, 0.000, 1322.19, 0.0902, 281074.003, 318, 420456, 18446744073709322776, 138774.442, 142100.986, 198.576, 0.494, 0.325, 0
34, 281117.552, 0.724, 0.000, 1330.71, 0.0898, 281117.552, 317, 421836, 18446744073709322088, 139175.428, 141743.549, 198.576, 0.495, 0.326, 0
35, 281094.874, 0.742, 0.000, 1298.57, 0.0900, 281094.874, 317, 411646, 18446744073709327584, 139152.749, 141743.549, 198.576, 0.495, 0.329, 0
36, 281061.983, 0.735, 0.000, 1300.36, 0.0827, 281061.983, 318, 413516, 18446744073709326552, 138444.700, 142418.707, 198.576, 0.493, 0.337, 0
37, 281168.390, 0.743, 0.000, 1277.47, 0.0900, 281168.390, 322, 411346, 18446744073709327728, 139305.695, 141664.118, 198.576, 0.495, 0.327, 0
38, 281197.342, 0.730, 0.000, 1326.48, 0.0893, 281197.342, 316, 419167, 18446744073709323672, 139533.224, 141465.542, 198.576, 0.496, 0.328, 0
39, 281223.739, 0.742, 0.000, 1247.81, 0.0925, 281223.739, 328, 409281, 18446744073709328896, 138447.595, 142577.568, 198.576, 0.492, 0.322, 0
40, 281185.644, 0.726, 0.000, 1287.11, 0.0933, 281185.644, 324, 417025, 18446744073709324552, 137853.487, 143133.581, 198.576, 0.490, 0.318, 0
41, 281233.684, 0.745, 0.000, 1263.19, 0.0926, 281233.684, 324, 409275, 18446744073709328936, 139013.553, 142021.555, 198.576, 0.494, 0.323, 0
42, 281170.021, 0.750, 0.000, 1231.36, 0.0903, 281170.021, 327, 402654, 18446744073709332488, 137639.288, 143332.157, 198.576, 0.490, 0.326, 0
43, 281171.930, 0.737, 0.000, 1297.88, 0.0930, 281171.930, 320, 415323, 18446744073709325664, 139507.811, 141465.542, 198.576, 0.496, 0.323, 0
44, 281082.743, 0.714, 0.000, 1330.67, 0.0904, 281082.743, 319, 424483, 18446744073709320544, 138108.023, 142776.144, 198.576, 0.491, 0.322, 0
45, 281110.440, 0.735, 0.000, 1313.02, 0.0897, 281110.440, 316, 414913, 18446744073709325728, 138890.309, 142021.555, 198.576, 0.494, 0.328, 0
46, 281069.723, 0.742, 0.000, 1226.62, 0.0903, 281069.723, 331, 406012, 18446744073709330688, 137380.129, 143491.018, 198.576, 0.489, 0.323, 0
47, 281141.674, 0.734, 0.000, 1260.67, 0.0900, 281141.674, 327, 412238, 18446744073709327152, 137769.802, 143173.296, 198.576, 0.490, 0.324, 0
48, 281106.373, 0.728, 0.000, 1341.39, 0.0894, 281106.373, 314, 421198, 18446744073709322552, 139799.691, 141108.106, 198.576, 0.497, 0.328, 0
49, 281186.397, 0.743, 0.000, 1236.52, 0.0928, 281186.397, 330, 408050, 18446744073709329592, 138211.677, 142776.144, 198.576, 0.492, 0.321, 0
50, 281219.155, 0.737, 0.000, 1253.44, 0.0904, 281219.155, 328, 411128, 18446744073709327848, 138165.005, 142855.574, 198.576, 0.491, 0.324, 0
51, 281098.418, 0.750, 0.000, 1294.09, 0.0900, 281098.418, 317, 410227, 18446744073709328472, 140228.603, 140671.238, 198.576, 0.499, 0.331, 0
52, 281136.966, 0.749, 0.000, 1253.93, 0.0903, 281136.966, 323, 405019, 18446744073709331232, 138281.392, 142656.998, 198.576, 0.492, 0.327, 0
53, 281180.869, 0.741, 0.000, 1284.30, 0.0854, 281180.869, 321, 412260, 18446744073709327264, 139238.744, 141743.549, 198.576, 0.495, 0.334, 0
54, 281062.529, 0.725, 0.000, 1340.92, 0.0903, 281062.529, 315, 422391, 18446744073709321888, 139596.987, 141266.966, 198.576, 0.497, 0.326, 0
55, 281160.788, 0.749, 0.000, 1248.65, 0.0900, 281160.788, 325, 405812, 18446744073709330792, 138583.220, 142378.992, 198.576, 0.493, 0.327, 0
56, 281231.897, 0.746, 0.000, 1258.44, 0.0905, 281231.897, 324, 407734, 18446744073709329792, 138733.760, 142299.562, 198.576, 0.493, 0.326, 0
57, 281124.580, 0.745, 0.000, 1280.79, 0.0810, 281124.580, 321, 411132, 18446744073709327928, 139619.322, 141306.682, 198.576, 0.497, 0.342, 0
58, 281219.539, 0.727, 0.000, 1326.79, 0.0925, 281219.539, 317, 420594, 18446744073709322864, 139555.420, 141465.542, 198.576, 0.496, 0.323, 0
59, 281183.524, 0.715, 0.000, 1393.10, 0.0895, 281183.524, 307, 427682, 18446744073709318640, 139201.684, 141783.264, 198.576, 0.495, 0.327, 0
60, 281018.885, 0.729, 0.000, 1286.51, 0.0900, 281018.885, 324, 416830, 18446744073709324720, 138481.033, 142339.277, 198.576, 0.493, 0.324, 0
61, 281167.448, 0.740, 0.000, 1280.82, 0.0926, 281167.448, 321, 411143, 18446744073709327792, 138550.164, 142418.707, 198.576, 0.493, 0.323, 0
62, 281093.801, 0.731, 0.000, 1292.63, 0.0899, 281093.801, 320, 413641, 18446744073709326400, 137682.213, 143213.011, 198.576, 0.490, 0.325, 0
63, 281175.082, 0.737, 0.000, 1301.21, 0.0899, 281175.082, 319, 415086, 18446744073709325776, 139550.679, 141425.827, 198.576, 0.496, 0.328, 0
64, 281083.750, 0.722, 0.000, 1375.09, 0.0899, 281083.750, 309, 424902, 18446744073709320400, 139777.069, 141108.106, 198.576, 0.497, 0.328, 0
65, 281100.789, 0.740, 0.000, 1295.55, 0.0898, 281100.789, 318, 411986, 18446744073709327400, 138920.373, 141981.840, 198.576, 0.494, 0.328, 0
66, 281087.136, 0.727, 0.000, 1301.60, 0.0901, 281087.136, 320, 416512, 18446744073709324864, 137913.840, 142974.720, 198.576, 0.491, 0.324, 0
67, 281218.278, 0.744, 0.000, 1292.85, 0.0932, 281218.278, 318, 411125, 18446744073709327848, 139395.299, 141624.403, 198.576, 0.496, 0.324, 0
68, 281093.764, 0.730, 0.000, 1327.78, 0.0893, 281093.764, 316, 419580, 18446744073709323448, 139667.936, 141227.251, 198.576, 0.497, 0.328, 0
69, 281247.494, 0.735, 0.000, 1257.54, 0.0826, 281247.494, 328, 412472, 18446744073709327144, 138272.774, 142776.144, 198.576, 0.492, 0.335, 0
70, 281210.638, 0.736, 0.000, 1296.72, 0.0930, 281210.638, 320, 414952, 18446744073709325760, 139149.367, 141862.694, 198.576, 0.495, 0.322, 0
71, 281105.117, 0.750, 0.000, 1222.95, 0.0935, 281105.117, 330, 403575, 18446744073709332024, 138011.252, 142895.290, 198.576, 0.491, 0.321, 0
72, 281143.922, 0.747, 0.000, 1241.70, 0.0904, 281143.922, 326, 404795, 18446744073709331344, 137851.480, 143093.866, 198.576, 0.490, 0.326, 0
73, 281080.540, 0.725, 0.000, 1233.77, 0.0894, 281080.540, 336, 414547, 18446744073709325856, 136874.649, 144007.315, 198.576, 0.487, 0.320, 0
74, 281097.986, 0.722, 0.000, 1339.06, 0.0900, 281097.986, 316, 423144, 18446744073709321392, 139275.007, 141624.403, 198.576, 0.495, 0.325, 0
75, 281180.451, 0.745, 0.000, 1235.06, 0.0825, 281180.451, 329, 406335, 18446744073709330472, 138007.155, 142974.720, 198.576, 0.491, 0.336, 0
76, 281194.230, 0.746, 0.000, 1254.42, 0.0906, 281194.230, 325, 407685, 18446744073709329848, 138616.662, 142378.992, 198.576, 0.493, 0.326, 0
77, 281123.313, 0.748, 0.000, 1279.38, 0.0892, 281123.313, 320, 409401, 18446744073709328840, 139538.625, 141386.112, 198.576, 0.496, 0.330, 0
78, 281126.231, 0.727, 0.000, 1320.54, 0.0931, 281126.231, 318, 419931, 18446744073709323208, 139144.391, 141783.264, 198.576, 0.495, 0.321, 0
79, 281029.058, 0.730, 0.000, 1293.67, 0.0895, 281029.058, 322, 416561, 18446744073709324888, 138650.066, 142180.416, 198.576, 0.493, 0.326, 0
80, 281163.251, 0.725, 0.000, 1292.79, 0.0864, 281163.251, 323, 417572, 18446744073709324200, 137950.240, 143014.435, 198.576, 0.491, 0.329, 0
81, 281135.502, 0.747, 0.000, 1258.16, 0.0929, 281135.502, 324, 407644, 18446744073709329824, 138915.371, 142021.555, 198.576, 0.494, 0.323, 0
82, 281072.126, 0.742, 0.000, 1282.36, 0.0905, 281072.126, 319, 409074, 18446744073709328992, 138295.982, 142577.568, 198.576, 0.492, 0.327, 0
83, 281240.863, 0.740, 0.000, 1290.39, 0.0878, 281240.863, 321, 414216, 18446744073709326192, 139735.606, 141306.682, 198.576, 0.497, 0.331, 0
